ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,37,0.0,0.0,0.0,3,4756,8.0,458,0.00001
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,28,0,0,0,1,2465,27.6,606,0.00001
2017,0,0,0,0,0,0,0,0,0
2018,40,9.3,7.7,19.3,3,4897,25.33,634,0.00001
2019,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0
2021,53,13.3,10.0,15.7,2,2896,18.4,485,0.00001
2022,53,17.7,13.7,12.3,8,3829,27.7,172,0.00001
2023,,35.3,27.0,25.7,2,4800,21.5,368,0.00001
