ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,48,69.3,78.7,65.0,5,10505,14.2,27,19
2007,54,65.0,76.7,61.7,4,13565,6.8,294,19
2008,45,54.3,62.7,59.7,2,7538,29.15,264,19
2009,48,49.0,52.3,55.3,1,15997,23.2,248,19
2010,60,49.0,45.7,51.0,2,15620,31.1,61,19
2011,41,51.0,43.0,49.0,2,13439,25.2,46,19
2012,0,0.0,0.0,0.0,0,0,0.00,0,0
2013,64,33.7,27.0,33.0,2,8826,16.25,293,19
2014,54,35.0,34.3,34.7,4,9661,13.75,102,24
2015,51,39.3,36.0,30.3,9,17074,48.45,20,24
2016,57,56.3,50.3,46.3,1,15751,53.6,68,24
2017,51,54.0,41.3,40.7,2,14848,46.0,432,24
2018,57,53.0,42.0,41.0,1,12179,40.7,102,24
2019,64,55.0,45.7,37.3,1,16390,45.25,306,24
2020,53,57.3,50.0,37.3,1,0,41.48,220,24
2021,47,58.0,47.7,35.0,4,4334,57.88,78,24
2022,58,54.7,43.3,37.7,4,18685,85.73,62,24
2023,,52.7,42.3,43.0,1,14785,80.8,153,24
