ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,0,0.0,0.0,0.0,0,0,0.0,0,0
2007,55,33.7,38.0,41.7,1,23199,14.7,12,69
2008,48,34.0,39.0,36.7,2,18638,27,2,69
2009,56,34.3,37.7,37.3,2,38761,38.5,4,69
2010,45,53.0,56.0,56.0,1,13447,53.2,128,69
2011,45,49.7,52.3,60.3,2,14179,50.9,237,69
2012,72,48.7,52.3,60.0,1,18309,55.4,285,69
2013,57,54.0,55.3,53.7,1,11436,51.1,656,76
2014,62,58.0,54.3,45.0,2,14132,64.6,119,76
2015,69,63.7,54.7,37.7,1,21453,72.9,379,76
2016,62,62.7,55.0,41.0,2,18560,78.8,163,83
2017,54,64.3,59.0,46.0,1,13157,72.0,132,85
2018,59,61.7,59.3,49.7,2,17177,59.5,20,85
2019,48,58.3,56.3,48.3,2,19045,58.9,9,85
2020,68,53.7,51.0,47.0,1,0,80.2,161,85
2021,84,58.3,55.0,45.7,1,42300,93.7,75,90
2022,58,66.7,58.7,42.7,1,31504,148.8,87,100
2023,,70.0,58.7,38.7,1,40543,114.3,105,100
