ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,46,0,0,0,3,22741,14.8,38,36
2012,47,15.3,14.3,16.3,1,18981,18.3,103,36
2013,48,31.0,26.7,30.0,2,18449,22.75,9,36
2014,37,47.0,39,45,1,11917,17.65,129,36
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,50,12.3,10.3,14.3,2,21658,35.55,320,36
2018,48,16.7,16.7,16.0,1,19416,34.9,110,36
2019,49,32.7,29.7,29.7,1,26510,44.95,26,36
2020,44,49.0,44.3,44.0,1,0,32.83,498,36
2021,43,47.0,43.7,47.7,4,6434,31.73,157,36
2022,0,0,0.0,0.0,0,0,0.0,0.0,0.0
2023,,29.0,30.0,36.7,1,25079,53.80,105,36
