ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,51,36.7,39.7,42.3,1,9539.0,5.70,130,54
2007,55,53.7,57.0,59.0,2,17145.0,20.20,377,54
2008,53,55.0,57.0,54.7,2,7453.0,39.95,741,54
2009,47,53.0,55.0,50.7,2,14358.0,20.80,303,54
2010,59,51.7,55.0,53.3,1,18584.0,36.20,102,54
2011,56,53.0,52.3,48.0,3,15979.0,33.25,60,54
2012,55,54.0,52.7,49.7,2,11133.0,40.05,140,54
2013,61,56.7,55.3,47.0,1,16249.0,37.83,510,54
2014,34,57.3,55.7,46.7,9,12483.0,35.35,5,56
2015,0,0.0,0.0,46.3,0,0.0,0.00,0,0
2016,59,31.7,28.7,29.7,2,7914.0,22.75,298,56
2017,53,31.0,24.7,29.0,4,11622.0,31.15,272,56
2018,51,37.3,29.3,27.0,1,12732.0,32.80,63,56
2019,43,54.3,42.0,42.3,8,17609.0,37.15,13,56
2020,27,49.0,38.0,44.3,5,0.0,30.60,182,56
2021,0,0.0,0.0,0.0,0,0.0,0.00,0,0
2022,53,23.3,21.0,35.7,4,20861.0,37.15,12,56
2023,,26.7,24.3,35.0,5,24800.7,65.95,383,56
