ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2020,53,0,0,0,5,0,40.88,197,9
2021,56,17.7,16.7,13.3,5,2581,68.3,268,9
2022,44,36.3,35.0,28.7,4,4769,102.2,583,9
2023,,51.0,51.3,48.3,3,5863,80.2,105,9
