ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,53,71.3,67.0,58.3,6,15703.0,57.2,33,84
2007,44,69.3,60.3,52.7,9,20071.0,25.0,29,84
2008,0,0,0,0,0,0,0,0,0
2009,52,32.3,27.0,32.0,1,20256.0,60.5,495,84
2010,68,32.0,30.0,34.7,5,27446.0,48.6,859,84
2011,71,40.0,38.3,31.7,2,29397.0,56.9,214,89
2012,57,63.7,56.0,43.7,5,25222.0,66.6,578,99
2013,50,65.3,56.3,38.7,1,24441.0,73.9,948,99
2014,69,59.3,43.7,32.3,9,29031.0,61.9,109,99
2015,81,58.7,42.3,30.7,3,34188.0,80.9,129,101
2016,55,66.7,49.0,28.0,3,28764.0,66.6,500,111
2017,72,68.3,56.0,34.7,1,40007.0,50.3,132,111
2018,44,69.3,56.3,34.3,1,31367.0,86.5,469,121
2019,56,57.0,44.0,35.7,1,32855.0,89.2,117,121
2020,51,57.3,42.0,33.0,2,0.0,94.8,224,121
2021,57,50.3,40.3,38.0,3,32662.0,85.15,2,121
2022,65,54.7,42.3,38.3,3,38770.0,131.55,46,121
2023,,57.7,43.0,39.0,7,45335.2,89.5,147,123
