ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0
2008,53,16.3,17.0,20.0,1,19254,15.9,128,17
2009,45,17.7,18.3,16.0,3,16929,28.5,15,17
2010,0,0,0,0,0,0,0,0,0
2011,57,32.7,34.3,36.0,1,17749,12.2,141,17
2012,48,34.0,35.0,33.7,1,12579,19.65,505,17
2013,48,35.0,36.7,33.7,1,14651,28.65,262,17
2014,47,51.0,50.7,48.7,3,12329,22.75,15,17
2015,44,47.7,45.7,50.0,2,14000,34.35,258,17
2016,46,46.3,38.3,44.0,2,9893,26.9,155,17
2017,43,45.7,38.0,43.0,1,14348,30.4,2,17
2018,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2020,31,14.3,14.0,17.0,2,0,30.53,220,17
2021,0,0,0,0,0,0,0,0,0
2022,42,10.3,10.3,18.0,1,20608,30.8,450,17
2023,,24.3,23.3,38.0,5,23784,36.7,123,17
