ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,53,72.0,81.3,66.7,1,15239,18.5,285,77
2007,60,56.3,64.7,66.0,2,23504,19.7,4,77
2008,67,57.7,66.0,58.3,1,24245,55,130,77
2009,62,60.0,61.3,49.0,1,20437,55.6,495,82
2010,69,63.0,63.3,51.7,3,16072,57.1,859,84
2011,43,66.0,56.7,45.0,1,10367,64.3,348,91
2012,52,58.0,53.0,47.3,3,11667,51.3,5,91
2013,76,54.7,49.3,46.7,2,28911,53.4,174,91
2014,80,57.0,57.3,46.3,1,29691,55.7,503,101
2015,55,69.3,63.7,42.0,3,22075,100.6,888,111
2016,51,70.3,62.7,36.7,3,20952,73.0,20,111
2017,57,62.0,53.0,40.7,2,14547,67.8,290,111
2018,53,54.3,46.3,41.0,1,13534,60.9,626,111
2019,36,53.7,43.0,40.7,1,22438,54.2,1004,111
2020,0,0.0,0,0,0,0,0,0,0
2021,0,0.0,0,0,0,0,0,0,0
2022,0,0.0,0,0,0,0,0,0,0
2023,,0.0,0.0,0.0,4,35157,36.1,27,111
