ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,45,62.3,65.3,71.7,8,11799,8.65,13,50
2007,61,60,64,65.3,9,17071,19.7,10,50
2008,45,58,61.3,55.7,3,17259,54.2,375,52
2009,46,50.3,51.3,48.3,4,22108,45.5,60,52
2010,71,50.7,51.7,47.7,3,22993,63.95,10,52
2011,63,54,53.3,46.7,2,14642,55.7,60,62
2012,77,60,57,47.7,1,12948,48.9,343,67
2013,46,70.3,61,40,3,17637,86.1,714,77
2014,61,62,54.7,43.7,3,18490,47.9,17,77
2015,47,61.3,54.3,40,4,16320,97.1,46,77
2016,50,51.3,47.3,45.3,3,9139,70.1,72,77
2017,47,52.7,48,44.7,2,14450,40.4,153,77
2018,45,48,45,49,4,14458,37.73,489,77
2019,46,47.3,42.3,48,4,20209,68.1,130,77
2020,64,46,40,48.3,2,0,39.78,242,77
2021,54,51.7,41.7,44.7,2,13541,74.28,91,77
2022,70,54.7,43.7,42,1,30628,77.5,116,77
2023,,62.7,52,40.3,1,35608,59.2,350,82
