ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,38,34.7,38.7,46.0,2,11786,0.20,105,14
2007,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2019,53,0,0.0,0.0,1,32999,26.90,534,14
2020,41,17.7,16.7,16.3,1,0,18.23,313,14
2021,58,31.3,28.0,31.0,1,19950,27.88,26,14
2022,55,50.7,42.7,46.0,1,32961,44.45,341,16
2023,,51.3,41.3,42.7,1,41991,39.05,712,16
