ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,55,70.3,75.7,60.7,1,10305,9.10,272,7
2007,45,67.0,70.7,56.0,2,14046,5.45,1,7
2008,53,58.0,60.0,54.0,2,8558,21.20,3,7
2009,55,51.0,56.3,52.7,1,11421,21.95,329,7
2010,33,51.0,56.7,58.0,4,7968,34.60,13,7
2011,0,0,0.0,0.0,0,0,0,0,0
2012,0,0,0.0,0.0,0,0,0,0,0
2013,59,11.0,13.7,22.7,1,12680,10.45,605,7
2014,47,19.7,16.0,14.7,2,6958,8,4,7
2015,38,35.3,28.7,28.0,1,8025,32.08,34,7
2016,0,0,0.0,0.0,0,0,0,0,0
2017,0,0,0.0,0.0,0,0,0,0,0
2018,0,0,0.0,0.0,0,0,0,0,0
2019,52,0,0.0,0.0,2,14957,27.38,5,7
2020,37,17.3,15.3,21.3,5,0,24.60,369,7
2021,0,0,0.0,0.0,0,0,0,0,0
2022,46,29.7,29.0,42.3,2,10511,23.93,17,7
2023,,27.7,27.0,38.7,2,7924,20.68,6,7
