ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,67,29.7,38.0,49.3,1,25630,3.6,360,63
2007,58,35.3,41.3,41.7,1,21542,25.25,752,68
2008,72,41.7,36.0,29.3,5,31725,31.35,130,68
2009,55,65.7,55.7,41.0,2,17776,50.15,34,75
2010,63,61.7,56.7,41.3,1,20369,48.25,151,75
2011,48,63.3,64.3,41.3,2,15805,67.2,284,77
2012,71,55.3,61.0,48.7,3,23631,52.5,89,77
2013,65,60.7,57.3,44.3,4,19764,70.55,460,82
2014,61,61.3,49.0,41.7,2,21032,50,125,89
2015,68,65.7,44.7,30.7,2,25249,58.23,285,89
2016,53,64.7,43.3,30.3,3,20450,65.68,355,94
2017,62,60.7,43.0,33.3,4,19758,60.2,237,94
2018,66,61.0,49.3,37.3,1,22264,110.2,573,96
2019,65,60.3,48.0,35.7,1,17600,90.75,952,98
2020,59,64.3,55.7,34.0,1,0,106.65,1421,100
2021,43,63.3,55.0,35.3,1,14051,114,38,100
2022,0,0.0,0.0,0.0,0,0,0,0,0
2023,,34.0,32.3,30.3,1,27078,48.05,250,100
