ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,69,72.3,65.7,55,1,22084,16.5,104,89
2007,54,71.3,63.3,48,7,15595,32.8,18,96
2008,54,68,57.7,43,1,18641,50.85,274,96
2009,65,59,49.7,42.3,1,18323,55.95,331,96
2010,58,57.7,54,45,2,16630,94.9,128,103
2011,60,59,53.7,44,1,18188,61.5,40,103
2012,52,61,56.7,42.7,1,9368,74.1,282,103
2013,48,56.7,49.7,41.3,1,7234,69.15,164,103
2014,69,53.3,50.7,45,1,22318,32.6,127,103
2015,60,56.3,49.3,44.3,1,18375,83,129,108
2016,43,59,47.7,43.7,1,25421,75.78,275,108
2017,0,0,0,0,0,0,0,0,0
2018,69,34.3,24.7,26.3,6,27715,55.85,154,108
2019,57,37.3,28.7,23.3,2,19824,68.95,531,113
2020,70,42,31.7,22.7,3,0,61.18,220,113
2021,48,65.3,52,34.3,2,12196,80.4,89,120
2022,73,58.3,49.7,38.7,3,22902,114.35,99,120
2023,,63.7,54.3,36,3,28631,55.63,363,127
