ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,44,49.7,51.0,37.3,3,12748,10.95,12,113
2007,58,64.3,70.3,60.7,5,17586,13.08,155,113
2008,65,57.3,62.3,60.7,1,16877,47.80,131,113
2009,62,55.7,53.7,54.0,3,18516,71.70,494,115
2010,50,61.7,53.7,45.7,11,10971,54.85,78,115
2011,50,59.0,51.7,44.3,3,12692,52.30,343,115
2012,34,54.0,47.7,42.3,5,11984,46.55,706,115
2013,0,0.0,0.0,0.0,0,0,0.00,0.0,0
2014,40,28.0,27.3,31.0,3,19755,38.10,578,115
2015,53,24.7,24.3,37.7,2,30444,85.60,128,115
2016,80,31.0,31.3,36.7,4,32470,77.10,61,115
2017,63,57.7,52.0,47.3,3,29672,78.00,4,125
2018,80,65.3,61.0,42.7,2,32356,92.43,105,132
2019,74,74.3,62.3,34.3,3,27994,138.85,276,142
2020,58,72.3,62.0,34.3,1,0,104.55,224,147
2021,66,70.7,58.7,31.7,2,15877,153.15,207,147
2022,81,66.0,56.7,37.3,1,35943,195.85,521,152
2023,,68.3,57.3,35.7,1,44392,143.60,893,162
