ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,64,78.3,88.0,63.0,1,9699,27.7,124,125
2007,62,70.7,76.3,55.0,1,7992,29.7,516,127
2008,45,61.7,61.0,51.3,7,9803,48.65,150,134
2009,49,57.0,53.0,45.3,2,9038,37.35,84,134
2010,56,52.0,53.0,52.7,1,9200,89.9,149,134
2011,53,50.0,55.0,53.7,1,8892,114.25,46,134
2012,53,52.7,58.7,54.3,1,8108,111.65,411,134
2013,57,54.0,56.0,49.7,2,10405,133.05,782,134
2014,53,54.3,52.0,45.7,2,9243,55.6,124,134
2015,58,54.3,47.7,39.0,1,8691,58,66,134
2016,71,56.0,50.7,38.0,1,11225,57.65,310,134
2017,63,60.7,53.3,36.7,5,11585,68.05,674,141
2018,50,64.0,53.3,35.7,4,10576,71.3,101,146
2019,74,61.3,49.0,35.3,4,10307,107.05,132,146
2020,54,62.3,49.3,35.0,8,0,54.85,2,153
2021,50,59.3,52.7,41.3,13,9801,88.55,23,153
2022,47,59.3,49.0,41.3,13,11860,94.05,43,153
2023,,50.3,43.7,44.0,12,10739,84,126,153
