ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,78,72.7,78.7,59.0,2,22948,51.45,103,79
2007,77,72.7,73.7,47.3,3,28662,30.55,494,89
2008,75,71.0,66.0,39.3,3,21333,99.55,858,99
2009,65,76.7,62.3,29.0,4,26268,65.3,1223,109
2010,55,72.3,59.3,32.3,4,14704,78.3,322,114
2011,59,65.0,59.0,44.0,4,22257,82.18,230,114
2012,66,59.7,56.0,47.3,3,24401,122.05,209,114
2013,50,60.0,56.7,45.7,3,24373,117.05,324,116
2014,70,58.3,51.7,41.0,6,29202,89.1,222,116
2015,62,62.0,52.3,39.0,4,20561,102.05,34,123
2016,52,60.7,50.3,42.3,8,22512,92.68,135,125
2017,50,61.3,52.0,41.0,4,33635,92.28,132,125
2018,63,54.7,48.3,44.0,3,34320,78,35,125
2019,63,55.0,46.0,39.7,2,28846,97,2,125
2020,66,58.7,44.3,37.7,6,0,77.13,321,125
2021,48,64.0,48.0,34.7,1,28239,89.95,91,127
2022,54,59.0,43.0,36.3,2,30132,102.7,179,127
2023,,56.0,48.3,40.3,6,25170,80.28,550,127
