ANO,PONTOS,MM3_PTS,MM3_ATK,MM3_DEF,ESTADUAL,MEDPUB,PRECO,TMPTECDIA,TRAD
2006,59,54.7,65.0,73.7,9,13450,1.05,271,75
2007,54,56.3,65.0,67.3,4,15305,4.2,28,75
2008,40,56.3,63.0,60.3,4,13723,38.35,41,75
2009,0,0,0.0,0.0,0,0,0,0,0
2010,49,31.3,38.0,39.7,4,13650,35.10,40,75
2011,69,29.7,33.0,39.0,6,16889,40.45,108,75
2012,58,39.3,33.3,28.3,4,10596,45.50,265,82
2013,44,58.7,48.3,43.0,4,20561,26.75,64,82
2014,0,0.0,0.0,0.0,0,0,0,0,0
2015,41,34.0,31.7,35.0,1,13794,39.43,147,82
2016,0,0.0,0.0,0.0,0,0,0,0,0
2017,56,13.7,9.3,18.0,3,13782,34.58,55,82
2018,43,32.3,22.7,33.7,2,15384,63.45,235,82
2019,49,33.0,27.0,31.7,2,21404,47.15,6,82
2020,41,49.3,40.0,46.7,7,0,42.05,136,82
2021,0,0,0.0,0.0,0,0,0,0,0
2022,0,0,0.0,0.0,0,0,0,0,0
2023,,13.7,12.3,18.7,3,19699,68.20,131,82
